wage,exper,union,service,educ,looks,sex,race,status,health
5.73,30,no,no,14,4,female,white,married,good
4.28,28,no,no,12,3,female,white,married,good
7.96,35,no,no,10,4,female,white,single,good
11.57,38,no,no,16,3,male,white,married,good
11.42,27,no,no,16,3,male,white,married,good
3.91,20,no,no,12,3,female,white,married,bad
8.76,12,no,no,16,3,male,white,married,good
7.69,5,no,no,16,4,male,white,single,good
5.0,5,no,no,16,3,female,white,single,good
3.89,12,no,no,12,3,female,white,single,good
3.45,3,no,no,12,4,female,white,single,good
4.03,6,no,no,16,4,male,white,married,good
5.14,19,no,no,17,2,male,white,married,good
3.0,8,no,no,16,3,male,white,single,good
7.99,12,no,no,16,4,male,white,married,good
6.01,17,no,no,16,4,male,white,married,good
5.16,7,no,no,17,3,male,white,married,good
11.54,12,no,no,17,4,male,white,married,good
10.44,10,no,no,17,4,female,white,single,good
7.69,7,no,no,16,3,female,white,married,good
7.69,7,no,no,17,4,male,white,single,good
6.79,19,no,no,14,3,male,white,married,good
6.87,33,no,no,12,3,male,white,married,good
17.03,32,no,no,13,3,male,white,married,good
10.05,12,no,no,13,4,male,white,married,good
15.81,24,no,no,17,4,male,white,married,good
14.84,29,no,no,13,5,male,white,single,good
19.08,17,no,no,17,5,male,white,single,good
8.35,41,no,no,16,1,male,white,married,bad
9.62,40,no,no,16,3,male,white,married,bad
5.96,10,no,no,14,3,male,white,married,good
5.73,43,no,no,10,3,male,white,married,bad
6.73,41,no,no,10,4,male,white,married,good
8.17,18,no,no,16,2,male,white,married,good
12.39,28,no,no,12,4,male,white,married,good
9.62,37,no,no,13,2,male,white,married,good
4.83,20,no,no,16,4,male,black,married,good
7.69,10,no,no,13,2,male,white,married,good
12.5,31,no,no,16,3,male,white,married,good
2.82,18,no,no,12,3,male,white,married,good
12.31,9,no,no,17,3,male,white,single,good
13.22,42,no,no,16,3,male,white,married,good
16.83,14,no,no,16,4,male,white,married,good
11.54,27,no,no,16,3,male,white,married,good
4.95,20,no,no,14,3,female,black,single,good
7.21,14,no,no,17,3,male,white,married,good
11.58,4,no,no,17,3,male,white,married,good
15.38,13,no,no,17,3,male,white,married,good
6.1,5,no,no,17,3,male,white,married,good
7.93,32,no,no,17,3,male,white,married,good
9.16,19,no,no,17,4,female,white,married,good
6.91,14,no,no,17,4,female,white,single,good
20.18,28,no,no,17,3,male,white,married,good
9.93,31,no,no,17,3,male,white,married,good
7.79,18,no,no,13,4,male,white,married,good
5.13,23,no,no,5,3,male,white,married,good
10.99,14,no,no,16,4,male,white,married,good
6.56,17,no,no,13,2,male,white,married,good
10.1,16,no,no,13,3,male,white,married,good
10.74,19,no,no,16,3,male,white,married,good
16.35,26,no,no,17,3,male,white,married,good
4.62,20,no,no,12,4,female,white,married,good
7.49,18,no,no,17,3,male,white,married,good
19.23,35,no,no,17,3,male,white,married,good
4.77,9,no,no,17,4,female,white,single,good
7.14,20,no,no,17,2,female,white,single,good
14.42,7,no,no,17,4,male,white,married,good
9.28,40,no,no,17,4,male,white,single,good
29.98,12,no,no,17,3,male,white,married,good
32.79,33,no,no,16,4,male,white,married,good
9.62,16,no,no,16,3,male,white,married,good
8.36,15,no,no,16,3,female,white,married,good
21.63,11,no,no,17,3,male,white,married,good
15.9,24,no,no,17,4,male,white,married,good
5.77,6,no,no,17,2,male,white,married,good
20.99,40,no,no,17,2,male,white,married,good
23.32,15,no,no,17,5,male,white,married,good
4.97,9,no,no,17,4,male,white,married,good
6.89,16,no,no,17,2,male,white,married,good
5.73,12,no,no,13,2,female,white,single,good
5.19,8,no,no,17,3,male,white,married,good
7.79,25,no,no,17,3,female,white,single,good
8.79,24,no,no,16,3,female,white,married,good
9.32,25,no,no,17,4,female,white,single,good
8.33,7,no,no,17,4,female,white,single,good
10.12,40,no,no,10,3,female,black,single,good
1.98,29,no,no,8,3,female,white,single,bad
8.24,13,no,no,17,4,female,white,married,good
5.05,5,no,no,14,4,female,white,single,good
6.55,10,no,no,16,3,female,white,married,good
4.47,25,no,no,13,3,male,white,married,good
7.96,10,no,no,16,3,female,white,married,good
6.25,20,no,no,17,2,male,white,single,good
4.13,7,no,no,16,3,male,white,single,good
6.73,25,no,no,13,2,female,white,married,good
7.69,8,no,no,17,3,female,white,single,good
4.35,8,no,no,14,2,female,white,married,good
7.69,28,no,no,14,3,male,white,married,good
4.81,37,no,no,16,2,male,white,married,good
5.24,31,no,no,17,3,male,white,married,good
2.14,24,no,no,16,4,male,white,married,good
4.49,33,no,no,17,4,male,white,married,good
3.61,8,no,no,17,4,male,white,married,good
5.45,33,no,no,17,3,male,white,married,good
5.0,30,no,no,17,3,male,white,married,good
6.73,23,no,no,17,3,male,white,married,good
10.05,24,no,no,16,3,male,white,married,good
6.54,4,no,no,17,4,male,white,married,good
9.2,40,no,no,17,3,female,white,single,good
4.62,1,no,no,16,3,female,white,single,good
3.37,36,no,no,13,3,female,black,single,good
5.54,7,no,no,17,4,female,white,single,good
6.11,7,no,no,12,5,female,white,married,good
4.99,14,no,no,13,3,female,white,single,good
5.88,7,no,no,17,3,female,white,married,good
5.66,11,no,no,16,4,female,white,single,good
4.0,6,no,no,16,3,male,white,married,good
6.87,23,no,no,16,3,female,white,married,good
4.37,19,no,no,17,2,female,white,single,good
5.77,30,no,no,13,3,male,white,married,good
5.77,21,no,no,17,4,male,white,married,good
12.31,9,no,no,17,4,male,white,married,good
19.08,29,no,no,17,3,male,white,married,good
7.55,9,no,no,17,3,female,white,single,good
5.9,18,no,no,17,4,female,white,single,good
6.37,26,no,no,17,3,female,white,single,good
6.15,21,no,no,17,4,male,white,married,good
1.92,12,no,no,17,2,female,white,married,good
3.27,11,no,no,17,3,male,white,single,good
2.18,18,no,no,17,4,male,white,single,good
5.62,22,no,no,17,3,male,white,married,good
9.29,38,no,no,17,4,female,white,single,good
6.41,10,no,no,17,3,female,white,married,good
7.46,22,no,no,16,3,female,white,married,good
6.59,16,no,no,17,2,female,white,single,good
6.73,20,no,no,17,2,female,white,married,good
5.61,14,no,no,16,3,female,white,married,good
3.65,14,no,no,16,4,female,white,married,good
13.01,15,no,no,17,4,male,white,married,good
6.97,18,no,no,17,3,male,white,single,good
7.69,21,no,no,17,3,female,white,married,good
6.73,15,no,no,16,3,male,white,married,good
5.13,10,no,no,17,3,female,white,single,good
2.14,6,no,no,16,4,female,white,married,good
4.53,8,no,no,14,2,female,white,married,good
9.1,18,no,no,17,2,female,white,single,good
9.78,15,no,no,17,3,female,white,single,good
3.63,11,no,no,13,4,female,white,married,good
7.21,20,no,no,17,3,female,black,married,bad
10.62,18,no,no,17,3,female,white,married,good
4.62,10,no,no,17,3,female,white,married,good
6.54,26,no,no,14,3,female,white,single,good
12.12,35,no,no,17,3,female,white,single,bad
7.21,30,no,no,16,4,female,white,married,good
6.25,6,no,no,16,4,female,white,single,bad
3.85,13,no,no,17,3,female,white,married,good
3.03,10,no,no,16,3,female,white,married,bad
2.01,16,no,no,16,3,female,white,married,good
3.9,5,no,no,17,4,female,white,married,good
6.35,11,no,no,17,3,female,white,single,good
2.0,6,no,no,14,4,female,white,married,good
7.69,22,no,no,17,3,male,white,married,good
2.63,4,no,no,12,3,female,white,single,good
5.0,15,no,no,17,4,female,white,married,good
6.54,7,no,no,17,3,female,white,single,good
5.19,10,no,no,16,3,female,white,married,good
9.75,8,no,no,16,3,female,white,married,good
2.81,14,no,no,13,3,female,black,married,good
4.62,11,no,no,17,3,male,white,married,good
7.33,34,no,no,17,3,male,white,married,good
7.69,12,no,no,17,4,male,white,married,good
3.26,10,no,no,17,3,male,white,married,good
5.77,11,no,no,17,2,female,white,single,good
5.59,8,no,no,17,4,male,white,single,good
5.13,28,no,no,16,3,male,black,single,good
14.74,24,no,no,17,2,male,white,married,good
3.67,8,no,no,17,3,female,white,single,good
9.73,13,no,no,17,4,male,white,married,good
3.46,4,no,no,13,3,male,white,married,good
6.37,43,no,no,17,4,male,white,married,good
6.58,30,no,no,16,3,female,white,married,good
10.15,16,no,no,16,3,male,black,single,good
9.23,19,no,no,17,3,male,white,married,good
6.75,21,no,no,17,3,male,white,married,bad
10.22,26,no,no,17,3,female,white,single,good
4.76,8,no,no,16,3,male,white,married,good
1.76,24,no,no,17,3,female,white,single,good
12.73,15,no,no,17,4,male,white,married,good
5.85,26,no,no,12,3,male,white,married,good
3.17,6,no,no,16,3,male,white,married,bad
5.99,19,no,no,12,2,male,white,married,good
4.62,4,no,no,12,3,male,white,married,good
1.8,23,no,no,13,4,male,white,married,good
5.95,25,no,no,13,4,male,white,married,good
7.46,18,no,no,12,3,male,white,married,good
8.7,27,no,no,13,2,male,white,married,good
3.75,16,no,no,10,3,male,white,married,good
7.69,20,no,no,12,3,male,white,married,good
5.24,12,no,no,14,3,male,white,married,bad
10.1,35,no,no,12,4,male,white,married,good
3.75,36,no,no,12,1,male,white,single,good
5.79,35,no,no,13,3,male,white,married,good
5.06,5,no,no,17,3,male,white,married,good
7.96,15,no,no,13,4,male,white,married,good
12.82,44,no,no,12,3,male,white,married,good
8.46,28,no,no,13,3,male,white,married,good
3.76,2,no,no,13,4,female,white,single,good
2.86,43,no,no,12,3,male,white,married,good
11.81,30,no,no,10,3,male,white,married,good
7.69,26,no,no,12,3,male,white,married,good
7.21,40,no,no,12,3,male,white,married,bad
2.88,7,no,no,13,4,female,black,single,good
5.73,10,no,no,12,3,female,white,single,good
4.49,37,no,no,12,2,male,white,married,good
9.57,27,no,no,17,4,male,white,married,good
3.61,5,no,no,17,3,male,white,married,good
7.77,14,no,no,13,2,male,white,married,good
9.23,16,no,no,16,2,male,white,single,good
5.58,4,no,no,17,3,male,white,married,good
5.34,39,no,no,16,3,male,white,married,good
5.17,32,no,no,12,3,male,white,married,good
6.41,16,no,no,17,4,male,white,married,good
7.4,10,no,no,17,4,female,white,single,good
6.75,15,no,no,17,4,male,white,married,good
8.46,10,no,no,17,4,male,white,married,good
4.61,10,no,no,13,3,female,white,single,good
8.61,12,no,no,12,3,female,white,married,bad
5.24,4,no,no,16,4,male,white,single,good
15.38,12,no,no,17,3,male,white,single,good
2.37,15,no,no,12,4,female,white,married,good
6.72,37,no,no,12,4,female,white,single,good
9.4,23,no,no,14,4,male,white,married,good
7.84,15,no,no,16,3,male,white,married,good
15.0,10,no,no,17,4,male,white,single,good
4.7,14,no,no,12,4,female,white,married,good
11.28,17,no,no,13,3,male,white,single,good
11.97,24,no,no,16,3,male,white,married,good
13.99,13,no,no,17,4,male,white,married,good
3.0,5,no,no,13,3,female,white,married,good
3.41,20,no,no,12,3,female,white,married,good
9.62,29,no,no,14,4,male,white,married,good
6.73,10,no,no,16,4,male,white,single,good
9.62,36,no,no,13,3,male,white,married,good
5.19,15,no,no,13,3,female,white,married,good
4.62,26,no,no,12,3,female,white,married,good
5.03,13,no,no,14,4,female,white,married,good
9.84,26,no,no,14,3,male,white,married,good
5.29,9,no,no,12,3,male,white,married,good
10.99,40,no,no,12,1,male,white,married,good
7.08,28,no,no,16,3,male,white,married,bad
8.17,12,no,no,16,2,male,white,single,good
5.88,25,no,no,13,4,female,white,married,good
7.92,18,no,no,13,4,female,white,married,good
4.44,9,no,no,17,3,male,white,single,good
6.64,9,no,no,13,3,male,white,married,good
15.8,30,no,no,17,4,male,white,married,bad
9.23,40,no,no,14,3,female,white,single,good
12.82,36,no,no,17,3,male,white,married,good
14.18,30,no,no,16,4,male,white,married,good
11.54,27,no,no,12,3,male,white,married,good
9.4,22,no,no,12,3,male,white,married,good
10.39,40,no,no,13,3,male,white,married,good
5.54,40,no,no,12,3,male,black,married,good
7.86,21,no,no,14,3,male,white,married,good
8.17,36,no,no,13,3,male,white,married,bad
4.05,16,no,no,12,4,female,white,married,good
7.81,36,no,no,10,3,male,white,married,bad
2.56,18,no,no,13,3,male,white,married,good
12.98,11,no,no,16,4,male,white,single,good
41.67,16,no,no,13,4,male,white,married,bad
4.81,12,no,no,13,4,female,white,married,good
1.32,2,no,no,10,3,male,white,married,good
3.71,4,no,no,16,3,male,white,single,good
4.81,21,no,no,16,3,male,white,married,good
4.68,4,no,no,12,3,male,white,single,good
8.21,32,no,no,17,2,female,white,single,good
4.03,7,no,no,16,3,female,white,single,good
4.81,5,no,no,13,3,male,white,single,bad
15.63,23,no,no,16,3,male,white,married,good
7.69,23,no,no,5,3,male,white,married,good
7.17,14,no,no,13,3,male,white,married,good
8.08,13,no,no,16,4,male,white,married,good
9.03,28,no,no,13,3,male,white,married,good
6.75,35,no,no,14,4,male,white,married,good
8.44,16,no,no,13,4,male,white,married,good
6.0,12,no,no,17,4,male,white,married,good
6.15,7,no,no,17,3,male,white,married,good
4.1,25,no,no,12,3,male,white,married,good
14.17,22,no,no,13,3,male,white,married,good
6.41,22,no,no,17,3,male,white,married,good
31.09,32,no,no,13,3,male,white,married,bad
10.29,35,no,no,13,4,male,white,married,good
5.06,28,no,no,12,3,male,white,married,good
6.37,18,no,no,13,3,male,white,married,good
2.98,11,no,no,17,3,female,white,single,good
13.28,40,no,no,13,3,male,white,married,good
4.2,10,no,no,13,2,male,white,married,good
8.92,40,no,no,12,3,male,white,married,good
2.63,7,no,no,16,3,female,white,married,good
26.24,24,no,no,12,3,male,white,married,good
7.54,36,no,no,12,4,male,white,single,good
8.65,34,no,no,13,3,male,white,married,good
20.99,44,no,no,16,3,male,white,married,good
10.26,44,no,no,13,3,male,white,married,good
8.55,30,no,no,16,3,male,white,married,good
2.08,23,no,no,12,4,male,white,married,good
3.0,5,no,no,13,3,male,white,single,bad
6.01,25,no,no,16,4,male,white,married,good
10.05,14,no,no,13,4,male,white,single,good
5.73,5,no,no,12,3,male,white,married,good
5.93,20,no,no,12,3,male,white,married,good
4.49,1,no,no,10,2,male,white,single,good
5.66,13,no,no,16,4,male,white,single,good
10.19,15,no,no,12,4,male,white,married,good
20.99,35,no,no,12,3,male,white,married,good
9.05,20,no,no,12,4,male,white,married,good
3.92,12,no,no,12,5,male,white,married,good
4.28,7,no,no,16,4,female,white,single,good
2.75,7,no,no,16,3,female,white,single,good
2.88,32,no,no,12,4,male,white,married,good
6.41,13,no,no,13,3,male,white,married,good
7.69,15,no,no,13,3,male,white,married,good
3.75,33,no,no,10,3,female,white,single,bad
6.41,48,no,no,8,3,male,white,married,good
11.54,38,no,no,16,4,male,white,married,good
11.4,28,no,no,16,3,male,white,married,good
2.2,18,no,no,13,4,female,white,married,good
1.65,24,no,no,13,1,female,white,single,good
6.59,27,no,no,12,3,male,white,single,good
11.06,24,no,no,5,3,male,white,married,good
1.63,16,no,no,10,3,male,white,married,good
3.58,44,no,no,12,3,female,white,married,good
12.31,14,no,no,16,4,male,white,married,good
6.66,16,no,no,12,3,male,white,married,good
10.53,18,no,no,16,3,female,white,married,good
1.92,18,no,no,13,2,female,white,married,good
19.23,15,no,no,13,4,male,white,married,good
7.21,41,no,no,12,4,male,white,married,good
25.64,28,no,no,16,3,male,white,married,good
3.85,24,no,no,12,3,male,white,married,good
10.99,13,no,no,12,3,male,white,married,good
10.02,22,no,no,13,3,male,white,married,good
5.31,18,no,no,13,4,male,white,married,good
7.19,40,no,no,13,3,male,white,married,good
3.82,17,no,no,13,4,male,white,married,good
9.62,17,no,no,12,3,male,white,married,good
9.62,20,no,no,16,4,male,white,married,good
3.85,30,no,no,12,4,male,white,married,good
7.5,30,no,no,12,3,male,white,married,good
6.92,22,no,no,12,4,male,white,married,good
7.69,7,no,no,12,4,male,white,married,good
9.23,23,no,no,14,3,male,white,single,good
1.27,8,no,no,13,3,female,white,married,good
4.82,31,no,no,10,4,male,white,married,good
6.75,30,no,no,12,3,male,white,married,good
8.55,26,no,no,13,2,male,white,single,good
6.41,24,no,no,12,4,male,white,married,good
7.44,12,no,no,13,3,male,white,married,good
1.32,37,no,no,12,3,female,white,married,good
4.81,16,no,no,14,4,female,white,single,good
14.35,23,no,no,16,3,male,white,married,good
2.4,9,no,no,10,2,male,white,married,good
3.08,14,no,no,14,2,male,white,married,good
10.66,8,no,no,13,5,male,white,single,good
7.69,41,no,no,16,2,male,white,married,good
2.54,5,no,no,13,4,male,white,single,good
6.38,30,no,no,12,3,male,white,married,good
4.81,12,no,no,17,4,male,white,married,good
3.82,24,no,no,12,3,female,white,single,good
7.4,19,no,no,13,3,male,white,married,good
7.69,20,no,no,12,4,male,white,married,good
8.24,23,no,no,14,2,female,white,married,good
2.63,3,no,no,8,3,male,white,single,good
5.31,20,no,no,13,4,male,white,married,good
3.0,45,no,no,5,2,male,white,married,good
5.7,31,no,no,12,3,male,white,married,good
17.49,23,no,no,13,4,male,white,married,good
3.89,7,no,no,13,3,male,white,single,good
16.14,23,no,no,10,3,male,white,married,good
18.32,25,no,no,13,3,male,white,married,good
10.42,28,no,no,8,3,male,white,married,bad
24.73,36,no,no,12,3,male,white,married,good
7.61,14,no,no,13,3,male,white,married,good
10.0,41,no,no,17,4,male,white,married,good
1.68,15,no,no,10,3,male,white,married,good
5.1,34,no,no,17,4,male,black,married,bad
7.72,20,no,no,16,3,male,white,married,good
13.46,20,no,no,16,4,male,white,married,good
17.48,35,no,no,17,4,male,white,married,good
1.92,25,no,no,10,3,male,black,married,good
5.09,38,no,no,13,4,male,white,married,good
6.37,16,no,no,17,3,female,white,single,good
5.45,6,no,no,16,2,male,white,single,good
3.82,14,no,no,13,3,male,white,married,good
20.86,34,no,no,8,4,male,white,married,good
6.2,8,no,no,17,4,male,white,single,good
26.22,17,no,no,17,3,male,white,married,good
2.5,27,no,no,12,3,male,white,married,good
8.1,13,no,no,13,3,male,white,single,good
6.21,42,no,no,12,3,male,white,married,good
5.24,11,no,no,16,4,male,white,married,good
5.57,12,no,no,12,4,male,white,married,good
7.6,43,no,no,12,4,male,white,married,good
17.49,18,no,no,16,3,male,white,married,good
10.1,17,no,no,16,3,male,white,single,good
4.33,4,no,no,13,2,male,white,single,good
5.38,40,no,no,12,4,male,white,married,good
5.7,14,no,no,16,4,male,white,married,good
15.73,32,no,no,12,3,male,white,married,good
3.16,13,no,no,12,3,female,white,married,good
7.63,34,no,no,13,3,male,white,single,bad
7.69,10,no,no,16,3,male,white,single,good
3.57,25,no,no,10,3,male,white,single,good
5.92,11,no,no,13,4,male,white,married,good
13.12,40,no,no,13,3,male,white,married,good
38.86,29,no,no,13,3,male,white,married,good
1.92,30,no,no,13,3,female,white,single,bad
